"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-05","May-1958","IDX","Index","0","Units",,,98.48431,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-06","Jun-1958","IDX","Index","0","Units",,,99.45261,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-07","Jul-1958","IDX","Index","0","Units",,,100.2625,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-08","Aug-1958","IDX","Index","0","Units",,,100.8976,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-09","Sep-1958","IDX","Index","0","Units",,,101.3883,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-10","Oct-1958","IDX","Index","0","Units",,,101.7207,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-11","Nov-1958","IDX","Index","0","Units",,,101.8679,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-12","Dec-1958","IDX","Index","0","Units",,,101.9805,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-01","Jan-1959","IDX","Index","0","Units",,,102.3225,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-02","Feb-1959","IDX","Index","0","Units",,,102.6996,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-03","Mar-1959","IDX","Index","0","Units",,,102.9318,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-04","Apr-1959","IDX","Index","0","Units",,,102.9992,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-05","May-1959","IDX","Index","0","Units",,,102.8511,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-06","Jun-1959","IDX","Index","0","Units",,,102.2974,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-07","Jul-1959","IDX","Index","0","Units",,,101.4279,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-08","Aug-1959","IDX","Index","0","Units",,,100.372,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-09","Sep-1959","IDX","Index","0","Units",,,99.56181,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-10","Oct-1959","IDX","Index","0","Units",,,99.45094,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-11","Nov-1959","IDX","Index","0","Units",,,99.90288,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-12","Dec-1959","IDX","Index","0","Units",,,100.5948,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-01","Jan-1960","IDX","Index","0","Units",,,100.7534,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-02","Feb-1960","IDX","Index","0","Units",,,100.0521,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-03","Mar-1960","IDX","Index","0","Units",,,99.14127,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-04","Apr-1960","IDX","Index","0","Units",,,98.42755,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-05","May-1960","IDX","Index","0","Units",,,98.0435,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-06","Jun-1960","IDX","Index","0","Units",,,98.03899,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-07","Jul-1960","IDX","Index","0","Units",,,98.20099,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-08","Aug-1960","IDX","Index","0","Units",,,98.43414,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-09","Sep-1960","IDX","Index","0","Units",,,98.45259,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-10","Oct-1960","IDX","Index","0","Units",,,98.36188,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-11","Nov-1960","IDX","Index","0","Units",,,98.18073,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-12","Dec-1960","IDX","Index","0","Units",,,98.05717,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,98.09429,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,98.4739,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,99.33572,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,100.3351,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,100.9308,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,101.1622,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,101.3251,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,101.5736,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-09","Sep-1961","IDX","Index","0","Units",,,101.7775,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-10","Oct-1961","IDX","Index","0","Units",,,101.7968,,
