Date,Open,High,Low,Close,Adj Close, Volume 
2/1/1959,55.209999,55.52,53.580002,55.41,55.41,"65,790,000"
3/1/1959,55.73,56.669998,55.439999,55.439999,55.439999,"82,430,000"
4/1/1959,55.689999,58.169998,55.689999,57.59,57.59,"75,840,000"
5/1/1959,57.650002,58.68,56.880001,58.68,58.68,"70,950,000"
6/1/1959,58.630001,58.630001,56.360001,58.470001,58.470001,"64,310,000"
7/1/1959,58.970001,60.619999,58.91,60.509998,60.509998,"70,900,000"
8/1/1959,60.709999,60.709999,58.27,59.599998,59.599998,"51,050,000"
9/1/1959,58.869999,58.919998,55.139999,56.880001,56.880001,"57,500,000"
10/1/1959,56.939999,57.52,56,57.52,57.52,"61,330,000"
11/1/1959,57.41,58.279999,56.220001,58.279999,58.279999,"64,500,000"
12/1/1959,58.700001,59.889999,58.599998,59.889999,59.889999,"72,210,000"
1/1/1960,59.91,60.389999,55.610001,55.610001,55.610001,"63,920,000"
2/1/1960,55.959999,56.82,54.73,56.119999,56.119999,"60,500,000"
3/1/1960,56.009998,56.009998,53.470001,55.34,55.34,"65,710,000"
4/1/1960,55.43,56.59,54.369999,54.369999,54.369999,"57,300,000"
5/1/1960,54.130001,55.830002,54.130001,55.830002,55.830002,"68,790,000"
6/1/1960,55.889999,58,55.889999,56.919998,56.919998,"76,480,000"
7/1/1960,57.060001,57.380001,54.169998,55.509998,55.509998,"53,860,000"
8/1/1960,55.529999,58.07,54.720001,56.959999,56.959999,"65,330,000"
9/1/1960,57.09,57.09,52.48,53.52,53.52,"60,840,000"
10/1/1960,53.360001,54.860001,52.200001,53.389999,53.389999,"54,370,000"
11/1/1960,53.939999,56.43,53.939999,55.540001,55.540001,"62,010,000"
12/1/1960,55.299999,58.110001,55.299999,58.110001,58.110001,"77,330,000"
1/1/1961,57.57,61.970001,57.57,61.779999,61.779999,"89,010,000"
2/1/1961,61.900002,63.439999,61.139999,63.439999,63.439999,"92,730,000"
3/1/1961,63.43,65.059998,63.380001,65.059998,65.059998,"115,050,000"
4/1/1961,65.599998,68.68,64.400002,65.309998,65.309998,"101,760,000"
5/1/1961,65.169998,67.389999,65.169998,66.559998,66.559998,"96,940,000"
6/1/1961,66.559998,67.080002,64.470001,64.639999,64.639999,"73,090,000"
7/1/1961,65.209999,66.760002,64.410004,66.760002,66.760002,"60,840,000"
8/1/1961,67.370003,68.440002,66.940002,68.07,68.07,"81,490,000"
9/1/1961,68.190002,68.459999,65.769997,66.730003,66.730003,"63,820,000"
10/1/1961,66.769997,68.620003,66.730003,68.620003,68.620003,"72,980,000"
11/1/1961,68.730003,71.849998,68.730003,71.32,71.32,"87,770,000"
12/1/1961,71.779999,72.639999,70.860001,71.550003,71.550003,"82,380,000"
1/1/1962,71.550003,71.959999,67.550003,68.839996,68.839996,"80,790,000"
2/1/1962,68.839996,71.129997,68.559998,69.959999,69.959999,"66,130,000"
3/1/1962,69.959999,71.440002,69.160004,69.550003,69.550003,"68,440,000"
4/1/1962,69.550003,69.82,64.949997,65.239998,65.239998,"65,240,000"
5/1/1962,65.239998,66.93,53.130001,59.630001,59.630001,"111,030,000"
6/1/1962,59.630001,59.959999,51.349998,54.75,54.75,"100,160,000"
7/1/1962,54.75,58.669998,54.470001,58.23,58.23,"74,160,000"
